City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
600,Marrakesh,MA,86.07200000000003,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
603,Manggar,ID,81.392,broken clouds,-2.8833,108.2667,Guest Hotel
606,Filadelfia,US,86.18000000000004,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
608,Sucua,EC,81.33800000000005,few clouds,-2.4667,-78.1667,Finca el Piura
613,San Ramon,US,88.808,clear sky,37.7799,-121.978,San Ramon Marriott
614,Nanakuli,US,78.0260000000001,clear sky,21.3906,-158.1547,Camp Pālehua
616,Khao Yoi,TH,79.592,overcast clouds,13.2403,99.8243,เปิ้ล ทำเบาะ
621,Cusuna,HN,82.31000000000009,overcast clouds,15.85,-85.2333,San Francisco de la paz
623,Adiake,CI,77.70200000000008,broken clouds,5.2863,-3.304,HOTEL COEUR D'OR
628,Mehriz,IR,82.90400000000005,few clouds,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
630,Umm Lajj,SA,83.78600000000007,clear sky,25.0213,37.2685,Moon light Furnished Units
638,Mancio Lima,BR,82.47200000000004,clear sky,-7.6142,-72.8958,Motel Asas Do Desejo
639,Cockburn Town,TC,84.16400000000003,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
643,San Policarpo,PH,80.00600000000003,overcast clouds,12.1791,125.5072,Agapita M. Nicart
646,Song Phi Nong,TH,80.2760000000001,overcast clouds,14.2241,100.0209,แฮปปี้เฮ้าส์ รีสอร์ท
647,Palmer,US,82.45400000000005,clear sky,42.1584,-72.3287,Wedgewood Motel
651,Badarganj,BD,76.33399999999999,moderate rain,25.674,89.0549,Raushon
654,Shenzhen,CN,79.21400000000003,light rain,22.5455,114.0683,Grand Skylight
656,Sungairaya,ID,76.58600000000007,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
659,Barcelona,ES,82.61600000000001,few clouds,41.3888,2.159,Axel Hotel Barcelona
661,Suez,EG,75.57800000000006,clear sky,29.9737,32.5263,Green House
674,Ahuimanu,US,77.77400000000002,mist,21.4447,-157.8378,Paradise Bay Resort
