City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Monte Patria,CL,2022-06-13 21:47:58,-30.6919,-70.9467,289.16,53,95,1.73
154,Wagar,SD,2022-06-13 21:47:59,16.1525,36.2032,305.31,40,68,4.96
155,Puerto Ayora,EC,2022-06-13 21:43:52,-0.7393,-90.3518,299.13,88,45,1.34
156,Bardiyah,LY,2022-06-13 21:48:00,31.7561,25.0865,295.59,81,0,5.24
157,Suksun,RU,2022-06-13 21:48:01,57.1431,57.3949,285.05,82,81,2.19
158,Srednekolymsk,RU,2022-06-13 21:44:43,67.45,153.6833,292.31,28,0,5.36
159,Peniche,PT,2022-06-13 21:48:01,39.3558,-9.3811,293.75,95,25,1.91
160,Khilok,RU,2022-06-13 21:48:02,51.3674,110.4676,287.55,61,99,1.29
161,Byron Bay,AU,2022-06-13 21:48:03,-28.65,153.6167,284.1,90,80,2.79
162,Grand Gaube,MU,2022-06-13 21:48:03,-20.0064,57.6608,296.37,66,91,3.13
163,Sandanski,BG,2022-06-13 21:48:04,41.5667,23.2833,290.92,74,12,1.7
164,Ukiah,US,2022-06-13 21:44:47,39.1502,-123.2078,298.95,40,0,5.14
165,Onguday,RU,2022-06-13 21:48:05,50.75,86.15,286.71,90,87,1.1
166,North Bend,US,2022-06-13 21:45:06,43.4065,-124.2243,288.84,85,100,4.63
167,Kastamonu,TR,2022-06-13 21:48:06,41.5,33.6667,284.95,90,6,1.52
168,Lebu,CL,2022-06-13 21:48:03,-37.6167,-73.65,283.72,89,100,3.9
169,Ulaangom,MN,2022-06-13 21:48:08,49.9811,92.0667,291.25,62,84,1.39
170,Cidreira,BR,2022-06-13 21:48:08,-30.1811,-50.2056,287.56,86,97,1.78
171,Port Hardy,CA,2022-06-13 21:45:07,50.6996,-127.4199,283.25,87,75,1.54
172,Half Moon Bay,US,2022-06-13 21:45:05,37.4636,-122.4286,301.42,51,0,8.75
173,Richards Bay,ZA,2022-06-13 21:48:10,-28.783,32.0377,290.62,48,92,5.14
174,Tanete,ID,2022-06-13 21:48:10,-3.9443,119.7848,295.41,97,61,1.53
175,Gayeri,BF,2022-06-13 21:48:11,12.6497,0.4931,304.41,48,37,3.73
176,Pevek,RU,2022-06-13 21:45:51,69.7008,170.3133,275.3,77,53,2.28
177,Esperance,AU,2022-06-13 21:43:27,-33.8667,121.9,288.21,75,81,9.11
178,Nishihara,JP,2022-06-13 21:48:13,26.1842,127.7558,300.18,100,75,8.23
179,Kirakira,SB,2022-06-13 21:48:13,-10.4544,161.9205,301.09,79,60,3.52
180,Marrakesh,MA,2022-06-13 21:44:46,31.6315,-8.0083,300.19,57,75,4.63
181,Shelburne,CA,2022-06-13 21:48:15,44.0787,-80.2041,294.59,70,100,1.46
182,Vila Velha,BR,2022-06-13 21:47:26,-20.3297,-40.2925,295.12,76,0,3.58
183,Makakilo City,US,2022-06-13 21:41:54,21.3469,-158.0858,301.33,55,20,8.75
184,Cherskiy,RU,2022-06-13 21:48:26,68.75,161.3,291.04,30,16,1.99
185,Emerald,AU,2022-06-13 21:48:27,-23.5333,148.1667,281.67,74,1,3.63
186,Bria,CF,2022-06-13 21:48:27,6.5423,21.9863,294.19,97,89,1.13
187,Hanyang,CN,2022-06-13 21:48:28,32.1371,105.5126,290.31,77,70,1.33
188,Lovozero,RU,2022-06-13 21:48:28,68.005,35.0117,283.94,85,88,2.27
189,Upernavik,GL,2022-06-13 21:48:29,72.7868,-56.1549,273.01,82,75,3.4
190,Mehamn,NO,2022-06-13 21:48:30,71.0357,27.8492,279.12,93,75,4.63
191,Raahe,FI,2022-06-13 21:48:30,64.6833,24.4833,286.2,94,89,3.62
192,Upington,ZA,2022-06-13 21:48:31,-28.4478,21.2561,287.36,44,100,2.57
193,Uige,AO,2022-06-13 21:48:32,-7.6087,15.0613,290.63,55,100,1.76
194,Camabatela,AO,2022-06-13 21:48:32,-8.1881,15.375,288.44,57,100,0.48
195,Cabo San Lucas,MX,2022-06-13 21:43:43,22.8909,-109.9124,306.03,28,0,9.26
196,Kahului,US,2022-06-13 21:47:18,20.8947,-156.47,304.16,59,20,10.8
197,Miraflores,MX,2022-06-13 21:48:34,19.2167,-98.8083,296.51,64,100,2.1
198,Jacareacanga,BR,2022-06-13 21:48:34,-6.2222,-57.7528,297.49,88,96,0.8
199,Kariba,ZW,2022-06-13 21:48:35,-16.5167,28.8,288.07,60,0,1.25
200,Le Port,RE,2022-06-13 21:48:36,-20.9373,55.2919,296.07,61,79,6.36
201,Kenai,US,2022-06-13 21:48:36,60.5544,-151.2583,287.61,76,40,5.14
202,Coquimbo,CL,2022-06-13 21:48:21,-29.9533,-71.3436,285.0,82,100,4.12
203,Caraballeda,VE,2022-06-13 21:48:37,10.6112,-66.8522,305.19,78,75,1.54
204,Yulara,AU,2022-06-13 21:48:38,-25.2406,130.9889,283.69,44,0,0.81
205,Novo Aripuana,BR,2022-06-13 21:48:38,-5.1206,-60.3797,296.63,96,62,0.59
206,Santa Cruz,BO,2022-06-13 21:45:03,-17.8,-63.1667,296.85,27,0,1.54
207,Arlit,NE,2022-06-13 21:44:35,18.7369,7.3853,308.93,12,65,5.31
208,Sitka,US,2022-06-13 21:45:06,57.0531,-135.33,284.09,76,75,2.57
209,Sembabule,UG,2022-06-13 21:48:40,-0.0772,31.4567,290.9,75,67,1.18
210,Lasa,IT,2022-06-13 21:48:41,46.6166,10.7002,290.64,85,5,2.29
211,Vikhorevka,RU,2022-06-13 21:48:42,56.1201,101.1636,287.92,82,7,1.28
212,Naze,JP,2022-06-13 21:48:42,28.3667,129.4833,296.66,87,100,9.06
213,Laguna,US,2022-06-13 21:48:43,38.421,-121.4238,302.31,19,0,5.14
214,Lavrentiya,RU,2022-06-13 21:44:44,65.5833,-171.0,276.62,65,100,4.87
215,Papar,MY,2022-06-13 21:48:44,5.7333,115.9333,297.15,90,90,1.48
216,Katsuura,JP,2022-06-13 21:48:45,35.1333,140.3,291.77,76,100,7.03
217,Almaty,KZ,2022-06-13 21:48:45,43.25,76.95,288.1,88,75,1.0
218,Escarcega,MX,2022-06-13 21:48:46,18.6089,-90.7454,304.29,53,100,3.44
219,Broken Hill,AU,2022-06-13 21:48:46,-31.95,141.4333,279.53,75,0,4.21
220,Bethel,US,2022-06-13 21:43:36,41.3712,-73.414,302.94,55,20,4.63
221,Fortuna,US,2022-06-13 21:45:21,40.5982,-124.1573,291.4,62,20,10.29
222,Koslan,RU,2022-06-13 21:48:48,63.4564,48.8989,286.68,66,100,1.96
223,Coihaique,CL,2022-06-13 21:48:49,-45.5752,-72.0662,280.49,87,100,4.63
224,Lixourion,GR,2022-06-13 21:48:49,38.2019,20.4314,296.18,75,13,1.83
225,Nesher,IL,2022-06-13 21:48:50,32.765,35.05,296.93,79,12,0.45
226,Tieli,CN,2022-06-13 21:48:50,46.95,128.05,290.64,85,100,1.34
227,Marawi,PH,2022-06-13 21:48:51,7.9986,124.2928,293.11,95,86,1.42
